,n_1,n_2,n_3,d_1,d_2,d_3,gamma_1,gamma_2,gamma_3,factor_loading
0,229,1463,7658,120000,120000,120000,-2.887545939033501,-2.310270766814847,-1.6571029423347126,0.439793506588386
1,190,1254,6033,120000,120000,120000,-2.8334049230320435,-2.268431751677205,-1.691011156556185,0.4442888946170915
2,145,863,4745,120000,120000,120000,-2.853263341535627,-2.3166833665066973,-1.684085983633657,0.4034438878579114
3,96,793,4842,120000,120000,120000,-3.1559021567638568,-2.4778846843697417,-1.74663198178905,2.4705012819735963e-05
4,189,1173,6364,120000,120000,120000,-2.8058706944132803,-2.302502966553096,-1.658749039374626,0.4535506333484097
5,163,1000,5556,120000,120000,120000,-2.846348622637768,-2.302673833598992,-1.6618195046210151,0.4358467126506459
6,278,1507,7361,120000,120000,120000,-2.8221168206744816,-2.305320129275356,-1.6681412108898308,0.4455940897533922
7,266,1549,7601,120000,120000,120000,-2.844037770966181,-2.299603315452595,-1.652831415194938,0.4507440210910236
8,152,1002,5405,120000,120000,120000,-2.991383524003445,-2.389445317115623,-1.7252705826423866,0.3047001411756274
9,416,2041,8691,120000,120000,120000,-2.772692883657435,-2.274418533871074,-1.689639518663987,0.4492620446754138
10,201,1224,6331,120000,120000,120000,-2.8209462863445216,-2.261496915605225,-1.6594344465861577,0.45708440964449
11,158,995,5243,120000,120000,120000,-2.937864465431306,-2.3664258176260966,-1.7251810578317663,0.3558958319689391
12,147,912,5275,120000,120000,120000,-3.032158572437643,-2.458790817906141,-1.7495885763939123,0.2088096182082098
13,146,921,5483,120000,120000,120000,-2.977451223259602,-2.40391711159351,-1.7110884171129763,0.3366290309336411
14,210,1240,6014,120000,120000,120000,-2.848835885724868,-2.268111689788917,-1.6760598978256964,0.4562920528448121
15,259,1453,7041,120000,120000,120000,-2.8966311770465234,-2.3160053222939165,-1.691819179762004,0.4260041048826771
16,150,1034,5765,120000,120000,120000,-2.845657220076054,-2.268814208440069,-1.6276448241487769,0.4469786248195743
17,305,1700,8037,120000,120000,120000,-2.816510508824267,-2.239805203238316,-1.630803164526425,0.4640576220295411
18,212,1312,6600,120000,120000,120000,-2.8245028349256938,-2.2871264178909803,-1.6414568683931985,0.4440822630873029
19,235,1356,7033,120000,120000,120000,-2.957755619033275,-2.360750056556306,-1.6546708831819084,0.1424061298737882
20,162,993,5332,120000,120000,120000,-2.8700209867623387,-2.3217001040222582,-1.6892037166550398,0.4160010179979546
21,295,1584,7973,120000,120000,120000,-2.810915566721081,-2.294127197594693,-1.6418491306504328,0.449226924838313
22,193,1342,7211,120000,120000,120000,-2.9213440286317045,-2.2813107870852942,-1.6122928945686574,0.4179490679767993
23,201,1238,6633,120000,120000,120000,-2.830104618273375,-2.2584848011302263,-1.643787391332173,0.4591962744898171
24,210,1240,6831,120000,120000,120000,-2.8095897702363786,-2.2585939367075967,-1.628368456318935,0.4560340797634846
25,155,918,5238,120000,120000,120000,-3.013357084353439,-2.425179797514339,-1.7098203036893214,-2.237709777935266e-06
26,206,1306,7034,120000,120000,120000,-2.8818760616303924,-2.269026463148961,-1.6152542735924151,0.4351252588412706
27,192,1235,6234,120000,120000,120000,-2.8344158946501503,-2.2640836348599693,-1.6730330565221565,0.4526843109011683
28,180,1145,6180,120000,120000,120000,-2.867450765071777,-2.2895317817676872,-1.6749945312342054,0.4470947904776913
29,198,1114,5692,120000,120000,120000,-2.836106108187728,-2.347027514370783,-1.722976456737126,0.4275583535591716
30,93,705,4441,120000,120000,120000,-2.8764062305326066,-2.2996033179015933,-1.6458366480388515,0.452221186953063
31,229,1489,7591,120000,120000,120000,-2.898361548820982,-2.306661632064598,-1.6564626157438145,0.4205846003932145
32,234,1511,7757,120000,120000,120000,-2.938078384523164,-2.32984110408983,-1.652269601635536,0.3438943023940006
33,229,1391,6890,120000,120000,120000,-2.9197111444450163,-2.321814552011295,-1.7097615364441394,0.4418553069832346
34,325,1830,8643,120000,120000,120000,-2.843336277897268,-2.306131559137255,-1.6838168367559967,0.4484239840783999
35,187,1132,6720,120000,120000,120000,-2.8462212247405017,-2.333599449118293,-1.6358589293141343,0.4524854079320669
36,158,1121,6439,120000,120000,120000,-2.9035458246778605,-2.35179405413776,-1.6614023623581424,0.4295032078096958
37,235,1255,6669,120000,120000,120000,-2.761939179954596,-2.288654316625119,-1.641219135411237,0.4566008804697475
38,163,987,5914,120000,120000,120000,-2.8464946920466696,-2.30446551965206,-1.6279306554954447,0.4237700905389885
39,307,1721,8494,120000,120000,120000,-2.890670291862464,-2.330653675791354,-1.698327783119854,0.4378305398354234
40,202,1326,6637,120000,120000,120000,-2.838065388980592,-2.2474754944671065,-1.626402878687716,0.4627095342018967
41,396,1904,7870,120000,120000,120000,-2.7830034719892374,-2.297759553631519,-1.7318910132904748,0.4470540135396209
42,313,1540,7551,120000,120000,120000,-2.7841032889535864,-2.285498185838532,-1.6634731215150775,0.4461457867587041
43,181,1006,5599,120000,120000,120000,-2.8352261076445995,-2.3119462666508976,-1.664831430527553,0.4218704397579794
44,230,1302,7215,120000,120000,120000,-2.818419664791571,-2.299352506049164,-1.6072182899728429,0.430148807898999
45,167,1049,5357,120000,120000,120000,-2.9881834806619008,-2.4009771073189112,-1.741127368752207,0.2330377808774197
46,189,1211,6313,120000,120000,120000,-2.812742682289642,-2.2929240885888094,-1.668121362642268,0.450851282737218
47,171,1088,5833,120000,120000,120000,-2.8416455023041847,-2.239946752084322,-1.6246352694659534,0.46312041347608
48,230,1316,6849,120000,120000,120000,-2.7747010156600207,-2.2683257577378555,-1.6220438832654378,0.4702243329667189
49,343,1849,8041,120000,120000,120000,-2.8528211138287256,-2.312015326474538,-1.7182900882372265,0.4421888770878487
50,241,1504,7381,120000,120000,120000,-2.8791461122337045,-2.2941530162646404,-1.6743694472320003,0.4401041062798486
51,183,1006,5797,120000,120000,120000,-2.819318095404629,-2.3006144625416454,-1.6392881855002042,0.4188795187958445
52,260,1358,7051,120000,120000,120000,-2.8479635210257,-2.323105958504652,-1.7029705582357864,0.4418751554759287
53,154,1060,5718,120000,120000,120000,-3.0363132532847468,-2.402553716388862,-1.7122658693816324,0.1939808621878828
54,169,1015,5999,120000,120000,120000,-2.835607156001996,-2.294256165185449,-1.6210877368147796,0.4250082087778582
55,118,811,4973,120000,120000,120000,-2.882730380731779,-2.319011112620373,-1.6511905434752665,0.4238827160180378
56,229,1316,6901,120000,120000,120000,-2.7718496835280693,-2.2632507468257304,-1.6106428602984404,0.4746291559012671
57,342,1785,8262,120000,120000,120000,-2.8573942107916017,-2.3226732354022377,-1.7062323645921909,0.446352172147215
58,255,1427,7525,120000,120000,120000,-2.9400875394266803,-2.357721616683813,-1.6551881480753723,0.267116493842251
59,158,1083,6046,120000,120000,120000,-2.907710852178241,-2.3088877759681923,-1.6755441288706057,0.4494135789870032
60,134,949,5153,120000,120000,120000,-2.8812812323428934,-2.302709299808912,-1.6783504802648002,0.4412926502456254
61,145,939,5587,120000,120000,120000,-2.962138661966722,-2.3856001218704046,-1.6966065770092182,0.3568792585606106
62,325,1779,8420,120000,120000,120000,-2.8804485704896146,-2.3180692144032014,-1.7046341896392914,0.4454684899622337
63,249,1347,7047,120000,120000,120000,-2.840647017494556,-2.3146528541112765,-1.692808417326765,0.4614134594852846
64,154,929,5393,120000,120000,120000,-2.8419074907921926,-2.307805451415968,-1.658528753174677,0.4427077163983519
65,122,679,4322,120000,120000,120000,-2.7875100719791384,-2.29621639112972,-1.6466693823536815,0.4647012469269621
66,349,1929,8827,120000,120000,120000,-2.828608706511292,-2.30831859024392,-1.677235697442607,0.4426154990658564
67,210,1108,5669,120000,120000,120000,-2.8521767878421187,-2.308413183166248,-1.7172689433972126,0.4480599321216304
68,306,1653,7766,120000,120000,120000,-2.812807198248252,-2.2832177223721386,-1.6485137792183189,0.4416034810951271
69,167,971,5426,120000,120000,120000,-2.9404387368099703,-2.38665365812216,-1.7154051871400018,0.3358613865396278
70,211,1254,6423,120000,120000,120000,-2.845397535408948,-2.277187798176143,-1.6663926604930102,0.4482521340201951
71,245,1400,6662,120000,120000,120000,-2.768773640007296,-2.219871088709473,-1.6270398653467475,0.4626450725782833
72,180,1236,6986,120000,120000,120000,-2.8809029112660265,-2.261731547444236,-1.6070959922774772,0.4658147942289035
73,144,1035,5567,120000,120000,120000,-2.971124730883059,-2.35735348934563,-1.7008911164108302,0.347721516410872
74,294,1670,7503,120000,120000,120000,-2.7817464693696263,-2.2583748268764725,-1.6611377888094454,0.4582906810670138
75,187,1126,6466,120000,120000,120000,-2.888617439781142,-2.308858376249692,-1.6624869848477255,0.4450729300929671
76,151,1066,5456,120000,120000,120000,-2.872031770854877,-2.281144831129464,-1.664996294591527,0.4197315859311802
77,186,1110,5569,120000,120000,120000,-2.8847481405893576,-2.3254809184327234,-1.6950286276245965,0.3627676146248431
78,154,1075,5653,120000,120000,120000,-3.0153438045428604,-2.367338980595574,-1.6735629603627125,-1.3656511315029466e-07
79,145,965,5776,120000,120000,120000,-2.8679666504355463,-2.304855224835832,-1.6353460869753036,0.4309483092109851
80,162,1128,6183,120000,120000,120000,-2.8691339660426225,-2.296241529626359,-1.6711929483562022,0.4494047242630183
81,215,1278,6570,120000,120000,120000,-2.8504902668473258,-2.26791672192568,-1.643900366327251,0.459093056677925
82,307,1404,6463,120000,120000,120000,-2.7671356056473133,-2.3131068648738324,-1.7372674956287504,0.4509186232459172
83,269,1400,7125,120000,120000,120000,-2.8507045510452595,-2.3073724523817205,-1.6850486343208426,0.4517577070784486
84,200,1157,6206,120000,120000,120000,-2.8554703990483263,-2.2899818177572806,-1.6772995820274756,0.4490431115773989
85,205,1154,5962,120000,120000,120000,-2.8580243403844765,-2.3156835798902247,-1.7075781898757243,0.4260649024577426
86,179,1200,6387,120000,120000,120000,-2.849409609492068,-2.278658704283332,-1.6482126434565,0.4532154960500861
87,400,2022,9024,120000,120000,120000,-2.8233925821205417,-2.2829348847201727,-1.6664651025082935,0.4504113717095541
88,266,1484,7352,120000,120000,120000,-2.8195554587924807,-2.30179788973157,-1.664300315001837,0.4518384728825172
89,315,1644,8204,120000,120000,120000,-2.7625861094027653,-2.253422180409479,-1.6215136157147572,0.4686414386623531
90,397,1977,8813,120000,120000,120000,-2.827152230728832,-2.298595165591316,-1.6766771523003885,0.4476529702886636
91,428,2167,8924,120000,120000,120000,-2.766514431617985,-2.2620222879315595,-1.6750864057542922,0.4491528279556934
92,164,997,5458,120000,120000,120000,-2.858300405305573,-2.30960926083005,-1.6676922408616748,0.4126367251453828
93,179,1134,6145,120000,120000,120000,-2.8686970149077364,-2.293907681922171,-1.6689127570126208,0.449370789390506
94,307,1513,6839,120000,120000,120000,-2.78703166157384,-2.2856534591290263,-1.697966835284057,0.4483695975719239
95,312,1473,6621,120000,120000,120000,-2.852491413170992,-2.338522561590156,-1.7269821097123683,0.3492971093060216
96,145,935,5319,120000,120000,120000,-2.848695373683394,-2.2982180726662778,-1.6600594280640857,0.4508584973419676
97,230,1488,7106,120000,120000,120000,-2.9289397956205097,-2.3294830661940016,-1.6954544193707086,0.3715154904734007
98,228,1177,6272,120000,120000,120000,-2.8160547815052883,-2.30875770126412,-1.678560091237997,0.4458311701771874
99,237,1508,7157,120000,120000,120000,-2.868495089254854,-2.2921572418717724,-1.6811080304450274,0.4429245326781851
100,274,1517,7465,120000,120000,120000,-2.8304107456774243,-2.300843078597019,-1.660241838311177,0.4490252712205272
101,255,1444,6610,120000,120000,120000,-2.789010947542933,-2.215774919953399,-1.6383096894989204,0.4678728077280824
