w_0,gamma_0,gamma_1,gamma_2
0.44677755067728947,-2.8705901522871327,-2.2817815332304874,-1.6360422109223445
0.44634385299366974,-3.0517133591335868,-2.4097230208294995,-1.7120304656989964
0.45152625095026366,-2.936853348117463,-2.2592477590800675,-1.5742329985419512
0.4663984871722402,-2.8980588346491487,-2.2747413610320804,-1.6248982070751412
0.4769090322585408,-2.8623521230521574,-2.275893390267235,-1.6245962024649654
0.4190119938430177,-3.0664922960322003,-2.352989381056998,-1.677915742408061
0.4532850274424754,-2.926231625949325,-2.302875118583167,-1.6076836471579943
0.4392118920850641,-2.920901732930027,-2.252371751926478,-1.6004773705578301
0.41586089469182336,-3.022556229221891,-2.401810902160975,-1.7018930868402253
0.3986039733730794,-2.9828287977450914,-2.317987400638325,-1.6582870289196983
0.40530483831868147,-2.991446350128465,-2.3300476738687332,-1.620194234970304
0.5160816499674655,-2.849954912131763,-2.2280852799790383,-1.6032903675574175
0.5174187011440042,-2.871692660593072,-2.2534693262980725,-1.6094366865687093
0.43703259163113173,-3.0115705549508207,-2.3604280950940644,-1.6818507508322516
0.4689059943614101,-3.088859229363931,-2.4298265074484138,-1.75318935752011
0.46347616654918733,-2.8902675862927047,-2.2891125249660513,-1.6030120538040324
0.4375476850547483,-2.968668245521464,-2.2811880021481543,-1.6295284122789657
0.5029025242112632,-2.960990488760887,-2.3010989818384724,-1.632657658189993
0.4578396919963773,-3.009400741769911,-2.2962367682738596,-1.6243166221307077
0.4586129765025934,-3.0104004816227943,-2.3220758885305313,-1.646045779206608
0.37421902351435826,-2.981118183749104,-2.3350013770508258,-1.6344376408570325
0.4789069850087707,-2.930660114077776,-2.245448933621427,-1.593174082355137
0.5047036199078715,-2.875948058737347,-2.2025720669853275,-1.5444271993987422
0.4540943606720939,-2.9449610996817257,-2.29084375436896,-1.5863206080124936
0.4522061537450593,-2.9300757338531547,-2.290208276662021,-1.614140553426984
0.4544211362665761,-2.9429480551835554,-2.3338158224956866,-1.65918747021456
0.450244648321749,-3.0206605567603586,-2.3621664815509766,-1.6956325566447215
0.4527971637843974,-2.9835533841860657,-2.401628648017171,-1.6894018008361733
0.47789464124943204,-2.8458297230340346,-2.218256613896564,-1.5435443674924694
0.44518718984323574,-2.977928440946283,-2.343560631925821,-1.6346497520924315
0.4092579494125997,-2.9823766285586872,-2.3489390131112424,-1.649978048027841
0.5100581415197147,-2.841038447383692,-2.2379008802829214,-1.5643142119392426
0.4221967213978215,-2.949524057288311,-2.289825738456851,-1.6008258428785178
0.4552032232831846,-2.8941912255377202,-2.3107785187304195,-1.6228654796078634
0.44417757272592817,-2.918674364835477,-2.2941987562258523,-1.6084815177457776
0.42240194832694233,-2.9422848830937856,-2.360646489585123,-1.6753912067076808
0.4463129104073107,-2.8791375189333444,-2.2430245622891287,-1.5733501645893113
0.43669477489926384,-3.032014142720727,-2.359894306770507,-1.638259172416765
0.5279420622725026,-2.843881003228815,-2.190559766711234,-1.557963518916088
0.44267261989624374,-2.952165242529566,-2.3467725029148774,-1.614226346594081
0.4597723576642838,-2.956223358183995,-2.2860174459240383,-1.610564545023719
0.45397592982179263,-2.9912015884488907,-2.3198036728966946,-1.6721928004274949
0.5032043829420019,-2.920170663590331,-2.3227793054583716,-1.6393746642821767
0.49008055394204214,-2.9581714833546413,-2.3257878757935884,-1.6265122457850094
0.4598927334028796,-2.992862923661046,-2.3143249103687764,-1.68472893954996
0.49518601444362154,-2.9806231761707154,-2.3497154019190702,-1.6731157751050303
0.49255380302110635,-2.8610970942763414,-2.23456601123892,-1.5693385826289958
0.4527895074931853,-2.962434336869534,-2.31323990102215,-1.5838603851076938
0.48359033764167836,-2.8853858378098027,-2.3074652087162044,-1.5878324381482674
0.45949487093896735,-2.906722097919971,-2.2740470755074482,-1.6151139467494942
0.5458330395258737,-2.798864648511684,-2.194297629812701,-1.542350732386414
0.4789474652762847,-2.923163486953861,-2.3062782131722845,-1.6234473928812536
0.428541056131561,-3.0701678631307403,-2.4081171496152716,-1.6989125702563608
0.4088171358356785,-2.9931348477639643,-2.3283711942479863,-1.6213419476669928
0.40332088430062946,-2.9350432103397046,-2.3360375981047876,-1.649111858388495
0.4171710322199373,-3.0974697674429685,-2.430160260239131,-1.7317880124156884
0.4820767190311982,-2.9488804738750294,-2.309806981107798,-1.6389964596005562
0.44647666089742694,-3.0075620032075947,-2.305758853110846,-1.6236254307302969
0.4655905029248588,-2.9498851659527157,-2.2679592925133907,-1.601734788832344
0.4388829948284294,-2.8982780957618166,-2.252563912789955,-1.5995911907319262
0.45715952871988974,-3.017665275413587,-2.3283510610717038,-1.6278873719562594
0.4420208778963838,-2.922143483017621,-2.3613525692040196,-1.6142344600338105
0.4628987501808267,-2.919570894124957,-2.259454815456102,-1.5738609527029868
0.47221324535841164,-2.904022279078222,-2.259403665921286,-1.5879726563857757
0.4746840205765625,-2.9528551507490217,-2.343227113327999,-1.6662285056907664
0.504132932009042,-2.921696725833708,-2.329676219343484,-1.658612067598829
0.42922430680486906,-2.982350246574566,-2.416572556289552,-1.6792532879430857
0.4436478424526864,-3.0306216672657347,-2.360872327830911,-1.671008173529163
0.45006539338012036,-2.9595371741196614,-2.3043806367887276,-1.631597667467057
0.5120388327944174,-2.909001635580541,-2.3162693701525296,-1.639420455791071
