w_0,w_1,w_2,gamma_0,gamma_1,gamma_2
0.5200648928906894,0.4583024470556165,0.47289223302004624,-2.8555626584621256,-2.2806733428679387,-1.6368755308461307
0.428356578748339,0.4316511914235352,0.40251232422228944,-3.0022021323139705,-2.3221482820834676,-1.6241777679211475
0.444521211066532,0.47708890746846166,0.43424836139439565,-3.0386803205951565,-2.3446258484539038,-1.6883348038548305
0.4763877962404595,0.4825857598033891,0.468128387716803,-2.990067087817187,-2.256531037364157,-1.6375661225867622
0.46977303074493904,0.4774608580628704,0.5114320042886974,-2.8369796104088003,-2.2482514939444544,-1.547389900657837
0.5391079548896858,0.4687203519067774,0.469776856767695,-2.905494242734983,-2.2571279672832727,-1.643817159294973
0.3963509145929852,0.5046850282964975,0.43693716569832575,-2.996995025373815,-2.298263173198089,-1.6261790236719535
0.38835655115281925,0.4153097692269448,0.37975102726078275,-2.987297116688865,-2.359830039846639,-1.658360842281712
0.46393215302685975,0.4544052111287083,0.4771689803139478,-2.8779649756356327,-2.269999875471268,-1.5991946247473683
0.4106669849363095,0.41626878486062513,0.4401343903587467,-2.9644484943237934,-2.331975006853246,-1.609995018291625
0.45084051632256483,0.3888011406124325,0.4080144571660581,-3.095360056034071,-2.4139314667881946,-1.6424032857303128
0.4179759627412655,0.4629530324693453,0.42020387469856335,-3.1004222317751244,-2.4173920484066396,-1.7243812620265808
0.47594314148080613,0.46571637594058274,0.46223123016156165,-2.9370965735603787,-2.2537908614198874,-1.565648965636407
0.4772805772132825,0.4974368958707991,0.4731790960549363,-3.0528323575163907,-2.3147484523632325,-1.6241756234699238
0.39114417433900034,0.45648695028886216,0.47463165929674217,-3.0669016157514073,-2.2962651290000444,-1.6333604061773048
0.4635277009047298,0.48046482041661337,0.45396289893007075,-2.9871246362288475,-2.3877001849996193,-1.7178047456873777
0.46158852628998803,0.47982995645220355,0.49121151837949395,-3.0662079515853184,-2.3612354565578517,-1.6221416326851792
0.4916680167133694,0.45726906926006766,0.4651764125538574,-2.92628070906455,-2.331245849364286,-1.6663405570057168
0.37276588663224197,0.3941480779703607,0.41804318141937735,-2.9913722190905667,-2.3195263790969056,-1.6493451682421798
0.4569086668412354,0.46083838613850076,0.494808759136277,-2.920959791190805,-2.2082587136122807,-1.5740309310452991
0.4414298590898367,0.5099300343820722,0.4472637538492283,-3.0533860903827463,-2.414324735373178,-1.716828436056694
0.45380067444674954,0.4903947573911824,0.4779183661918789,-2.9107021946703115,-2.314922323258296,-1.6688401773872232
0.48498977888484673,0.441528272919936,0.46050245494435404,-3.1535031547805983,-2.3603669597923984,-1.7054190644044718
0.4595564548291722,0.4500160456692071,0.4979604625592291,-3.105918195352328,-2.4298112932432576,-1.7127404761732927
0.47971386424607754,0.444260792125159,0.4603630533998778,-2.779014300678785,-2.226965523474702,-1.4917759512718325
0.47283747209387805,0.4733265900427823,0.4951795335277839,-2.9476332484601486,-2.331623045682505,-1.6163075449384814
0.5533682112647139,0.5184208849982668,0.5059383195327938,-2.881430217698911,-2.3026990209163456,-1.6443018579416226
0.5258706443632912,0.46965213658698085,0.4209503418295399,-3.051357870469867,-2.400263955764803,-1.7005709642626952
0.37938251863511047,0.36195344197947793,0.366928975989957,-3.024618905291725,-2.433437122572032,-1.7175348038103355
0.3793264809012875,0.447732227074871,0.4380404395600396,-3.0300474721913857,-2.306306001148086,-1.6406029855178121
0.5240405555097168,0.49294479729784213,0.4992535538502326,-2.8801900490387795,-2.337898654085039,-1.655467369505816
0.5026566255210891,0.46063832837447427,0.49590026077343685,-2.8276930444698354,-2.228330944962363,-1.5630791351095321
0.3161787393411322,0.4275156447915093,0.38112551887695156,-3.0282963971707235,-2.386379295390765,-1.6615341418336433
0.36012121238191774,0.43307162074229066,0.4267183003568281,-3.026606432074592,-2.379464370216059,-1.6920897669405013
0.39433328566927806,0.4306704731511953,0.44439983232327884,-2.901586106677434,-2.3488669911071214,-1.6474206763500252
0.34477533162319074,0.4008468001325469,0.40613842516724863,-2.9845662572097047,-2.374650568839954,-1.710658769618912
0.47216529954068015,0.4520964998914844,0.4680828627930973,-2.8756252621394323,-2.2504277029711233,-1.5495525253476299
0.4914021961602374,0.46937652119368917,0.4685924178677186,-2.818977183071636,-2.2322708255259025,-1.4903753371670954
0.41105726794444464,0.36457304474556684,0.39583706415882025,-3.041255329168988,-2.3806542818514136,-1.695684972422422
0.45686779886684686,0.47198669333260396,0.4827910709335815,-2.8049604739972644,-2.1624476712574174,-1.5410240838084541
0.300125383212476,0.31692968415146144,0.38661090497723716,-3.0251639745767167,-2.448607918591022,-1.7084350416485667
0.3807897369844874,0.4133785534228197,0.3676044066802567,-3.064598431264179,-2.335236310379267,-1.6569278306173423
0.521434093171526,0.4533138331630727,0.4707017864314439,-3.000659596555695,-2.3997037816532476,-1.769397675707185
0.400626485895763,0.453834080361618,0.4836524519429644,-2.935058027079342,-2.3336002855895175,-1.6759656939821055
0.5204193184852275,0.4201341352088182,0.4695807282748597,-2.8980874136433155,-2.256561829158462,-1.604766056755227
0.549228106375149,0.4550822568162953,0.46039871192933846,-2.921814869361631,-2.2368818611334245,-1.6042616716071159
0.5518293070453101,0.47761022269551884,0.505023079296706,-2.833885754713831,-2.167061952070281,-1.528873248467999
0.42114426272117317,0.45016592892468893,0.4536466789408663,-3.009129333629228,-2.277763894480209,-1.5873801290079206
0.4814296247409077,0.3564126389295906,0.4043656698074255,-3.0891536282445133,-2.3178357307169284,-1.6837885080570927
0.44644371652947556,0.37852971350930764,0.42894970552659967,-3.0860137304909236,-2.4553908821590196,-1.7601155049397195
0.4585514939475652,0.494003490060394,0.46499119311407866,-2.9702422759058824,-2.317462832880469,-1.6514283930273848
0.352645625043777,0.43542850909756936,0.46630178077091344,-2.995029457239519,-2.3199905940218724,-1.6408483675699452
