gamma_0,w_0,gamma_1,w_1,gamma_2,w_2
-2.7617073069507776,0.30787173277754265,-2.1060501078562055,0.4825282801244869,-1.4466320671589785,0.5262177563128457
-3.055080661867739,0.2549338486822987,-2.619727709810245,0.4386222292742568,-1.8119106729525973,0.3879701853910335
-3.129674664674361,0.26999065560509056,-2.391055785778313,0.23514927081863793,-1.8184197631112666,0.2589732525500888
-3.3706171843236503,0.26999782941254824,-2.6045313646271944,0.12435247022310292,-1.7223838902526911,0.23862071280848754
-2.858984164393865,0.45745620698433287,-2.4471272216841555,0.46727979273357084,-1.6595749061702603,0.4520205776603253
-3.129674664674361,0.2700093443949095,-2.3189084659001673,0.3811796622092236,-1.7279343223884187,0.3183092393341723
-3.129674664674361,0.2700093443949095,-2.382404342382312,0.45414467869614583,-1.6352340153886502,0.34268762806799113
-3.0233414397391476,0.2941467624250088,-2.120071689742151,0.2845399722638371,-1.4870560802731703,0.352924789933437
-3.055080661867739,0.35211385527191513,-2.437236408210091,0.35634215448922135,-1.7624102978623897,0.282248126417602
-3.1746835274550755,0.2700071728615602,-2.232226451790637,0.4753082317196017,-1.640024850899671,0.46777453452029655
-2.776190335372457,0.35303899879599887,-2.07485473439331,0.5395458887866147,-1.4720773171593673,0.5117060674401632
-3.090232306167813,0.14234727608897846,-2.457263390205437,0.3187691048112195,-1.7928306937637517,0.4374398566219499
-3.055080661867739,0.32737720977540435,-2.5622380757521497,0.3993990014168126,-1.831674030400181,0.3582897182062967
-3.0233414397391476,0.47788915464114934,-2.5363960132149588,0.2898277831522386,-1.8184197631112666,0.39205812976441295
-3.480756404346212,0.26999892570370787,-2.3656181268642924,0.2621852217586011,-1.5981931399228175,0.380367981701952
-2.823516371236462,0.5890908294130658,-2.202925499895092,0.49744701697095844,-1.5341205443525463,0.4604292886064524
-2.943046117412741,0.29882737169672163,-2.2571292444862254,0.4356682737574966,-1.654627902351078,0.4261146500143102
-3.1746835274550755,0.2700071728615602,-2.304403566359463,0.33767540162822873,-1.5632236468662761,0.3264392022872743
-3.129674664674361,0.27000934439488833,-2.382404342382312,0.32709993951809685,-1.7449130810524893,0.3652032120290782
-3.2272184259631564,0.2700052426835577,-2.391055785778313,0.34724533288688436,-1.6797806567981286,0.32189812458069855
-3.3706171843236503,0.27000217058745707,-2.5622380757521497,0.16524525181238797,-1.6746648890243256,0.22403319032826585
-3.2272184259631564,0.27000524268353654,-2.575829303548901,0.3584161798420835,-1.977368428181947,0.38775460926062305
-3.1746835274550755,0.26999282713843986,-2.457263390205437,0.22893167463754913,-1.621082250852408,0.2780148513957239
-2.8070337683438042,0.32982848838348033,-2.2973291519727392,0.41098030644845635,-1.5141018876192835,0.4796969150474469
-2.878161739095484,0.43147547431580074,-2.304403566359463,0.4416753698661091,-1.621082250852408,0.49434748395189754
-2.8408037178631944,0.48388288570541066,-2.1596470907226415,0.4699509925276727,-1.5220362417358562,0.5073074151507696
-3.090232306167813,0.295476968676144,-2.2835158551371935,0.3290766589086296,-1.5381988585840642,0.34489210490041816
-2.898460116549513,0.34705703522122505,-2.3263478740408408,0.2502638666523543,-1.5141018876192835,0.30203889255858185
