,n_1,n_2,n_3,d_1,d_2,d_3,gamma_1,gamma_2,gamma_3,factor_loading
0,256,1510,7273,120000,120000,120000,-2.9201663950650083,-2.334042172374974,-1.6808309041552598,0.3189851955823665
1,236,1336,7082,120000,120000,120000,-2.94374932910187,-2.3545431544703948,-1.7000485322055283,0.396031758702159
2,425,2056,9054,120000,120000,120000,-2.7784833743464614,-2.277188973377195,-1.6654750276344463,0.4485582574650176
3,267,1560,7770,120000,120000,120000,-2.8650963455483973,-2.276608871385749,-1.6447549415542642,0.453078756408706
4,319,1676,7778,120000,120000,120000,-2.790409480953356,-2.2675020672758746,-1.6418088698258226,0.4568621617778595
5,330,1673,7751,120000,120000,120000,-2.7725638904177767,-2.254688191220496,-1.6447914823057646,0.4623164877286146
6,251,1377,7230,120000,120000,120000,-2.854003795400537,-2.323396820064267,-1.6739521853514514,0.4358990921701922
7,466,2335,10489,120000,120000,120000,-2.8585752918175062,-2.317907634856306,-1.6773546465789346,0.4413398532172868
8,389,1918,8919,120000,120000,120000,-2.804364300003833,-2.285655861382532,-1.6681308459157438,0.4490165486942068
9,281,1649,7800,120000,120000,120000,-2.788131919564763,-2.2632392445556246,-1.6418969500138192,0.4553635676009454
10,168,1083,5856,120000,120000,120000,-2.911969557203625,-2.314112807459816,-1.698601196509589,0.4382156172922138
11,420,2170,9170,120000,120000,120000,-2.789897668297814,-2.24895434814821,-1.6687918040061045,0.4612376833784046
12,132,1024,5496,120000,120000,120000,-2.876922475492384,-2.2711572621033667,-1.6466683603840009,0.449204604436577
13,871,3232,10828,120000,120000,120000,-2.650021291793036,-2.2069862886955045,-1.6810484598871265,0.4697419866697337
14,249,1461,7051,120000,120000,120000,-2.9435635700751552,-2.346988323570063,-1.6768314549668637,0.222529612682945
15,209,1209,6531,120000,120000,120000,-2.8575033506311387,-2.28037819391678,-1.643267749866716,0.4599599358386617
16,95,779,4633,120000,120000,120000,-2.918599554184841,-2.268288840378959,-1.6188943232485415,0.4557373230186128
17,209,1290,6701,120000,120000,120000,-2.845466021211376,-2.2697783003145107,-1.6265398083327214,0.4602607263365258
